amount_borrowed,term,borrower_rate,installment,grade,principal_balance,principal_paid,interest_paid,late_fees_paid,days_past_due,default_flag
9950.0,36,0.1848999999999999,362.17,D,0.0,9950.0,3094.97,33.1100000262,0,0
15000.0,36,0.1076,489.3776838590938,C,0.0,6046.44,1783.64,0.0,0,1
10000.0,60,0.1213,223.11,B,9877.97,122.03,94.34,0.0,60,0
12000.0,36,0.1531,417.81,C,0.0,12000.0,3041.07,0.0,0,0
30000.0,60,0.1559,723.03,D,0.0,30000.0,8907.08,0.0,0,0
18000.0,60,0.1599,437.63,C,0.0,2785.97,2887.23,0.0,210,0
18800.0,36,0.1149,619.86,B,0.0,18800.0,1713.16,0.0,0,0
35000.0,36,0.069,1079.09885447768,A,12478.57,22521.43,3376.97,0.0,0,0
12000.0,36,0.1091,392.36,B,9660.49,2339.51,792.1,0.0,60,0
5000.0,36,0.0824,157.24,B,3065.09,1934.91,419.11,0.0,29,0
31000.0,36,0.1602,1090.18,C,23043.34,7956.66,4007.73,0.0,60,0
9000.0,36,0.1299,303.21,C,0.0,9000.0,1902.23,0.0,0,0
10000.0,60,0.1505,238.17,C,9421.91,578.09,604.4,0.0,29,0
4800.0,36,0.0993,154.73,B,3852.83,947.17,276.39,0.0,29,0
10000.0,36,0.0532,301.15,A,0.0,10000.0,518.75,0.0,0,0
3000.0,36,0.1624,105.83,C,0.0,3000.0,549.98,0.0,0,0
5000.0,36,0.1407,171.06,C,4887.57,112.43,54.72,0.0,60,0
40000.0,36,0.0746,1243.52,A,40000.0,0.0,0.0,0.0,60,0
15000.0,36,0.097,481.8978354180532,B,0.0,15000.0,592.51,0.0,0,0
25000.0,60,0.1147,549.44,B,15885.0,9115.0,5138.58,0.0,29,0
5000.0,36,0.0530999999999999,150.56,A,4871.56,128.44,20.64,0.0,60,0
18000.0,60,0.1629,440.51,C,0.0,6912.3,5858.2,0.0,1064,0
35000.0,60,0.1399,814.21,C,0.0,35000.0,1639.84,0.0,0,0
3800.0,36,0.0672,116.85,A,3316.77,483.23,90.38,0.0,60,0
26400.0,36,0.1465,910.65,C,0.0,18636.77,5684.92,0.0,394,0
35000.0,36,0.1419,1199.449424598403,D,0.0,5685.82,3669.9,239.88,0,1
12000.0,60,0.1305,273.3441207251761,C,3310.49,8449.18,4124.46,0.0,0,0
28000.0,36,0.1015,905.46,B,0.0,28000.0,4310.6,0.0,0,0
7000.0,36,0.0917,223.16,B,0.0,7000.0,98.26,0.0,0,0
15000.0,60,0.192,390.76084513241017,D,0.0,607.16,955.88,0.0,0,1
24000.0,36,0.1199,797.03,C,8263.67,15736.33,4173.43,0.0,29,0
4000.0,36,0.2712,163.55848309808275,F,3280.45,719.55,752.49,0.0,1555,1
27200.0,60,0.2312999999999999,768.82,F,0.0,3259.99,6053.23,38.44,486,0
10000.0,36,0.1147,329.62,B,3426.11,6573.89,1660.24,0.0,60,0
8000.0,36,0.0532,240.92,A,5256.89,2743.11,384.12,0.0,60,0
25000.0,60,0.2099,676.1933713498091,E,0.0,1255.95,2801.19,0.0,0,1
7500.0,36,0.3182,325.90909560336286,G,0.0,7500.0,1128.23,0.0,0,0
35000.0,60,0.1465,826.24,C,18932.43,16067.57,11281.19,0.0,29,0
12000.0,60,0.1017,255.96945922200132,B,7207.17,4792.83,1695.89,0.0,122,0
9000.0,36,0.1367,306.16,C,0.0,9000.0,924.74,0.0,0,0
20000.0,60,0.1081,432.9557682732887,C,13886.45,6113.55,3248.61,0.0,44,0
10550.0,36,0.143,362.12,C,0.0,10550.0,2460.33,0.0,0,0
7000.0,60,0.1768,176.53768672599134,D,5783.46,1216.54,1431.56,0.0,142,0
25000.0,36,0.1259,837.4202449298804,C,0.0,25000.0,3773.03,0.0,0,0
10400.0,60,0.1359,239.79,C,9463.3,936.7,779.34,0.0,60,0
34875.0,60,0.1042,748.22,B,33070.11,1804.89,1167.8,0.0,60,0
30000.0,60,0.1629,734.18,D,0.0,30000.0,5867.73,0.0,0,0
28000.0,36,0.0689,863.151184010595,A,23716.13,3563.72,752.03,0.0,0,0
16000.0,36,0.1602,562.68,C,9943.66,6056.34,631.31,0.0,60,0
9000.0,36,0.3075,385.78,F,7256.74,1743.26,2168.35,0.0,29,0
10000.0,36,0.2015,372.4005646785308,D,0.0,10000.0,1894.6295,0.0,0,0
8475.0,36,0.0799,265.54,A,4490.23,3984.77,785.55,0.0,29,0
5000.0,36,0.1299,168.45,C,0.0,5000.0,1064.01,0.0,0,0
8000.0,36,0.0532,240.92,A,5903.99,2096.01,310.83,0.0,60,0
7000.0,36,0.1264,234.6457062346142,C,5668.09,1331.91,545.29,0.0,1144,1
17000.0,36,0.1433,583.75,C,2816.95,14183.05,3937.51,0.0,60,0
6000.0,36,0.0917,191.28,B,0.0,1195.04,332.14,0.0,972,0
21000.0,36,0.0603,639.15,A,0.0,21000.0,1261.74,0.0,0,0
12000.0,36,0.288,501.563890142504,F,0.0,12000.0,599.64,0.0,0,0
3000.0,36,0.2644,121.5761258664826,E,2888.22,111.78,131.38,0.0,0,0
25000.0,36,0.1919,918.81,E,0.0,11417.88,5889.5,0.0,606,0
12000.0,36,0.1229,400.24,C,0.0,12000.0,1843.65,0.0,0,0
10000.0,36,0.0689,308.268280003784,A,8211.62,1788.38,369.51,0.0,0,0
11500.0,36,0.1757,413.28,D,0.0,11500.0,3366.67,0.0,0,0
10000.0,60,0.21,270.5335980571367,E,0.0,9999.99,4613.78,0.0,0,0
8000.0,36,0.1076,261.0014313915167,C,0.0,8000.0,1399.33,0.0,0,0
15000.0,60,0.1541,360.08528167579846,D,9403.11,5596.89,4485.63,0.0,0,0
3000.0,36,0.2289999999999999,115.98,E,2941.26,58.74,61.06,0.0,60,0
6000.0,36,0.057,181.71715448414176,A,2793.2,3206.8,427.6,0.0,0,0
20000.0,36,0.1199,664.2,B,0.0,20000.0,395.03,0.0,0,0
12000.0,36,0.1261,402.08,C,11344.02,655.98,239.77,0.0,60,0
6000.0,36,0.2399,235.3656134025072,E,5138.34,861.66,785.93,0.0,0,0
15000.0,60,0.1334,343.912512218954,B,0.0,10853.45,5310.32,0.0,0,1
3000.0,36,0.1149,98.92,B,0.0,3000.0,303.15,0.0,0,0
35000.0,60,0.1199,778.38,B,29080.63,5919.37,4001.41,0.0,29,0
15000.0,36,0.1278999999999999,503.9,C,6086.69,8913.31,2655.07,0.0,60,0
20000.0,60,0.1769,504.5017944879043,C,0.0,20000.0,7776.62,0.0,0,0
6000.0,36,0.1499,207.97,C,0.0,6000.0,1476.6,0.0,0,0
15000.0,36,0.1333,507.8,C,0.0,341.17,155.52,0.0,1125,0
35000.0,36,0.2145,1326.73,D,29027.43,5972.57,4599.56,0.0,60,0
21000.0,36,0.1015,679.1,B,0.0,21000.0,3423.53,0.0,0,0
21600.0,36,0.0689,665.86,A,0.0,21600.0,2082.6,0.0,0,0
25900.0,36,0.1375,882.0590187754833,D,12026.24,13116.9,4524.3,0.0,0,0
10000.0,60,0.1825,255.2962278180086,D,0.0,2382.6,2723.4,0.0,0,1
25000.0,36,0.2399,980.69005584378,E,0.0,25000.0,374.72,0.0,0,0
19000.0,36,0.1149,626.46,B,0.0,19000.0,3366.4,0.0,0,0
11200.0,60,0.1561,270.05,D,0.0,11200.0,4100.02,0.0,0,0
10000.0,36,0.1608,351.96541979046805,D,9561.79,219.81,132.16,0.0,0,0
7500.0,36,0.3182,325.90909560336286,G,0.0,7500.0,2146.12,0.0,0,0
18000.0,60,0.1602,437.92,C,0.0,1440.0,1632.1,0.0,210,0
15000.0,36,0.0944,480.08,B,10064.25,4935.75,1289.56,0.0,60,0
12000.0,60,0.1699,298.17,D,0.0,12000.0,823.57,0.0,0,0
6025.0,36,0.1898999999999999,220.83,D,4075.56,1949.44,1129.47,0.0,29,0
5000.0,36,0.0735,155.19,A,2191.47,2808.53,304.86,0.0,60,0
8400.0,36,0.1144,276.76,B,0.0,8400.0,993.6,0.0,0,0
15000.0,36,0.0838,472.68,B,0.0,15000.0,1548.0,0.0,0,0
15000.0,36,0.0769,467.9033001509166,A,0.0,15000.0,1846.85,0.0,0,0
20000.0,36,0.0699,617.46,A,11624.77,8375.23,1496.36,0.0,60,0
4000.0,36,0.1693,142.47159752054262,D,0.0,4000.0,66.6,0.0,0,0
20500.0,36,0.1398,700.45,C,0.0,20500.0,4478.63,0.0,0,0
13000.0,36,0.0672,399.75,A,11346.84,1653.16,333.46,0.0,60,0
15000.0,36,0.1433,515.08,C,0.0,15000.0,3542.52,0.0,0,0
6000.0,36,0.0832,188.9051853758473,B,1105.44,4894.56,772.74,0.0,0,0
30000.0,36,0.1859,1093.4716969353528,D,25372.99,4627.01,3027.28,0.0,0,0
10000.0,36,0.0992,322.3,B,9276.14,723.86,232.02,0.0,60,0
12000.0,60,0.1798999999999999,304.66,D,0.0,12000.0,2691.69,0.0,0,0
15000.0,36,0.063,458.3707981485782,A,6593.17,7985.99,1181.41,0.0,0,0
12000.0,36,0.1602,422.01,C,10092.28,1907.72,1024.99,0.0,60,0
35000.0,60,0.1299,796.18,C,10968.82,24031.18,11796.92,0.0,29,0
18000.0,36,0.0839,567.3,B,0.0,18000.0,2054.08,0.0,0,0
5000.0,36,0.1757,179.69,D,0.0,5000.0,210.05,0.0,0,0
12000.0,60,0.1367,277.18,C,7590.29,4409.71,3065.04,15.0,60,0
7150.0,36,0.0808,224.32,A,7150.0,0.0,0.0,0.0,60,0
10000.0,36,0.0532,301.15,A,5475.79,4524.21,592.38,0.0,60,0
18500.0,60,0.1848999999999999,474.73,E,11334.93,7165.07,7057.83,0.0,60,0
30000.0,60,0.0949,629.91,B,0.0,30000.0,2544.41,0.0,0,0
4375.0,36,0.1433,150.23,C,0.0,4375.0,982.5,0.0,0,0
8000.0,36,0.0698,246.9436269841817,A,0.0,8000.0,892.75,0.0,0,0
5000.0,60,0.123,111.98172179302702,C,0.0,5000.0,148.21,0.0,0,0
18200.0,36,0.1305,613.6683310016513,C,0.0,18200.0,3890.99,0.0,0,0
5500.0,36,0.0532,165.64,A,4058.91,1441.09,203.12,0.0,60,0
10000.0,36,0.2399,392.276022337512,E,0.0,10000.0,1332.48,39.22,0,0
15000.0,36,0.077,467.9723105192049,B,8577.88,6422.12,1161.49,0.0,0,0
2500.0,36,0.1154,82.4875835191645,C,0.0,2500.0,79.22,0.0,0,0
22800.0,36,0.1433,782.91,C,0.0,22800.0,5384.73,0.0,0,0
8000.0,36,0.123,266.8622231548162,C,5230.86,2769.14,970.04,0.0,0,0
5000.0,36,0.3125,215.69558243161472,G,244.48,4755.52,2778.98,0.0,0,0
35000.0,36,0.1825,1269.73,D,0.0,35000.0,8504.83,0.0,0,0
6500.0,36,0.0532,195.75,A,4796.96,1703.04,260.23,0.0,60,0
18000.0,36,0.1398,615.03,C,0.0,18000.0,2545.36,0.0,0,0
7000.0,36,0.1898999999999999,256.56,D,0.0,1232.95,828.62,0.0,606,0
15000.0,36,0.1198,498.08,B,14651.67,348.33,139.77,0.0,60,0
9125.0,36,0.1268999999999999,306.1,C,2104.17,7020.83,2015.39,0.0,29,0
40000.0,60,0.1602,973.15,C,35335.07,4664.93,4977.57,0.0,29,0
5800.0,60,0.2099,156.87686215315574,E,5132.35,667.65,1058.03,0.0,0,0
9000.0,36,0.0799,281.99,A,4518.13,4481.87,867.95,0.0,60,0
14050.0,60,0.0867,289.41,B,0.0,14050.0,1328.0,0.0,0,0
5000.0,36,0.1259,167.4840489859761,C,0.0,5000.0,233.86,0.0,0,0
12875.0,36,0.245,508.51,F,0.0,752.08,773.45,0.0,1459,0
12000.0,36,0.1709,428.38,D,9834.51,2165.49,1238.76,0.0,60,0
2000.0,36,0.1231,66.72513287244978,C,0.0,2000.0,403.0,0.0,0,0
6500.0,36,0.2399,254.97941451938283,E,0.0,786.5,743.38,0.0,0,1
14000.0,36,0.1199,464.94,B,9877.66,4122.34,1447.61,0.0,60,0
30000.0,36,0.1349,1017.92,C,0.0,30000.0,5001.32,0.0,0,0
8000.0,36,0.1805999999999999,289.47,D,6574.0,1426.0,896.77,0.0,29,0
20000.0,60,0.1443,469.83558489950747,D,0.0,20000.0,3118.6,0.0,0,0
10000.0,36,0.1049,324.98,B,6744.39,3255.61,963.3,0.0,60,0
12000.0,36,0.1064,390.83,B,0.0,12000.0,1320.75,0.0,0,0
11000.0,36,0.0967,353.24,B,0.0,11000.0,1716.53,0.0,0,0
6500.0,36,0.1367,221.12,C,1681.38,4818.62,1362.87,0.0,29,0
9600.0,36,0.1155,316.8,B,0.0,9600.0,1529.51,0.0,0,0
10175.0,36,0.1699,362.72,D,0.0,5150.03,2306.92,144.42,1033,0
11200.0,60,0.1274,253.35,C,9026.36,2173.64,1618.68,0.0,60,0
7500.0,36,0.3182,325.90909560336286,G,7113.65,386.35,591.38,0.0,0,0
4750.0,36,0.192,174.6,D,0.0,4750.0,1532.16,0.0,0,0
10000.0,60,0.1747,251.06,D,9787.51,212.49,270.22,0.0,60,0
14000.0,36,0.0769,436.70974680752215,A,0.0,14000.0,1240.6904,0.0,0,0
24000.0,36,0.0789,750.86,A,0.0,24000.0,3000.51,0.0,0,0
20000.0,36,0.0958,641.41,B,20000.0,0.0,0.0,0.0,60,0
30000.0,36,0.0726,929.89,A,1842.77,28157.23,3428.78,0.0,29,0
12500.0,36,0.0532,376.4347660942031,A,0.0,12500.0,652.86,0.0,0,0
20000.0,60,0.12,444.8889536980352,C,11152.28,8847.72,4943.87,0.0,0,0
11000.0,60,0.3065,360.3,F,10492.49,507.51,1673.03,0.0,60,0
16500.0,36,0.0712,510.3778735145565,A,0.0,16500.0,888.07,0.0,0,0
19000.0,36,0.1205,631.53,C,0.0,2711.71,1064.75,0.0,820,0
20000.0,36,0.0698,617.3590674604543,A,0.0,20000.0,2007.32,30.87,0,0
6000.0,36,0.1203,199.37184135847147,C,2176.22,3823.78,1138.62,90.0,26,0
10000.0,36,0.0733999999999999,310.33,A,9500.14,499.86,128.96,0.0,60,0
20000.0,60,0.1144,439.25,B,7600.55,12399.45,5597.09,0.0,29,0
28650.0,60,0.2657,867.49,F,20975.05,7674.95,13970.01,0.0,60,0
20000.0,60,0.0943,419.36,B,15082.74,4917.26,566.78,0.0,29,0
15000.0,36,0.0532,451.73,A,12267.26,2732.74,424.94,0.0,29,0
35000.0,36,0.1319,1182.4939236606212,C,12200.21,22799.79,6762.46,0.0,0,0
15000.0,36,0.2344,584.0913679292071,F,0.0,15000.0,4445.02,0.0,0,0
35000.0,60,0.1264,789.9223672083405,C,0.0,34999.99,6231.06,0.0,0,0
3000.0,36,0.0532,90.34434386260877,A,0.0,3000.0,40.4,0.0,0,0
10575.0,36,0.1368,359.79,C,0.0,10575.0,2377.31,0.0,0,0
25000.0,60,0.1346,574.7311010545138,C,13327.21,11672.79,7293.3,0.0,0,0
9000.0,36,0.1593,316.1023529287947,D,0.0,9000.0,631.99,0.0,0,0
10000.0,60,0.179,253.39058994975824,D,8745.37,1254.63,1532.66,0.0,1128,1
5000.0,36,0.1199,166.05,B,0.0,5000.0,816.01,0.0,0,0
6000.0,36,0.1333,203.12,C,0.0,6000.0,1314.77,0.0,0,0
4500.0,36,0.1274,151.06,C,2949.85,1550.15,574.21,0.0,29,0
25000.0,60,0.1855,642.34,E,13245.62,11754.38,10701.76,0.0,60,0
14400.0,36,0.1335,487.63,C,0.0,14400.0,3154.42,0.0,0,0
3600.0,36,0.1167,119.01,B,0.0,1158.05,389.08,0.0,1125,0
17000.0,36,0.0938,543.6070369629936,B,0.0,6502.53,1651.62,0.0,0,1
5000.0,36,0.1261999999999999,167.56,C,0.0,5000.0,58.48,0.0,0,0
10000.0,36,0.1408,342.17,C,8369.65,1630.35,757.02,0.0,60,0
8000.0,36,0.0899,254.37,B,3139.35,4860.65,985.86,0.0,29,0
10000.0,36,0.1261999999999999,335.12,C,7588.53,2411.47,922.2,0.0,29,0
12000.0,36,0.2148999999999999,455.13,D,0.0,1237.69,1352.87,45.52,363,0
12600.0,60,0.1259,284.05114063935576,C,11132.02,1467.98,611.07,0.0,0,0
10000.0,36,0.1359,339.79,C,8841.35,1158.65,532.75,0.0,60,0
26500.0,60,0.1259,597.4091449954705,C,23863.05,2636.95,2127.33,0.0,0,0
15000.0,36,0.1264,502.81222764560187,C,5201.36,9798.64,2771.61,0.0,0,0
20000.0,60,0.1629,489.45,D,5796.99,14203.01,8801.14,0.0,60,0
10000.0,60,0.138,231.6469350299705,D,9765.94,234.06,229.24,0.0,0,0
18000.0,60,0.1368,415.85,C,411.02,17588.98,6946.17,0.0,60,0
11400.0,60,0.1785999999999999,288.62,D,0.0,11400.0,4564.53,0.0,0,0
28000.0,60,0.179,709.4936518593231,D,6010.93,21989.07,14179.92,0.0,0,0
14000.0,36,0.0818,439.88,B,0.0,5418.53,1186.03,0.0,728,0
10000.0,60,0.1319,228.5045413667863,C,6855.19,3144.81,2168.4,0.0,0,0
15000.0,60,0.2039,400.68,D,14854.19,145.81,237.88,0.0,60,0
28200.0,60,0.231,796.6,E,0.0,28200.0,3694.02,0.0,0,0
20000.0,36,0.0605,608.8919534747653,A,0.0,20000.0,106.18,0.0,0,0
10000.0,36,0.1211999999999999,332.72,B,0.0,10000.0,1977.78,0.0,0,0
8000.0,60,0.2095,216.2019289981927,E,0.0,8000.0,3452.75,0.0,0,0
18000.0,60,0.1561,434.01,D,0.0,18000.0,1524.03,0.0,0,0
15000.0,36,0.1199,498.1430072733417,C,13604.57,1395.43,582.13,0.0,0,0
1750.0,36,0.0683,53.9,A,1750.0,0.0,0.0,0.0,60,0
5275.0,36,0.0975,169.6,B,0.0,5275.0,694.83,0.0,0,0
11000.0,36,0.288,459.7668992972953,F,8705.56,2294.44,2024.87,0.0,11,0
17900.0,60,0.082,364.6632103671244,B,12996.88,4903.12,2025.42,0.0,0,0
9775.0,36,0.1015,316.11,B,0.0,9775.0,1604.57,0.0,0,0
7405.0,36,0.1159,244.5044083925693,C,0.0,7405.0,1255.58,0.0,0,0
10000.0,36,0.2631,404.5593947350293,F,0.0,10000.0,4482.16,0.0,0,0
24000.0,36,0.0917,765.1,B,3002.57,20997.43,3455.2,0.0,60,0
10000.0,36,0.1419,342.69983559954375,D,0.0,10000.0,872.81,0.0,0,0
15000.0,36,0.1359,509.69,C,12171.25,2828.75,1226.12,0.0,60,0
7050.0,36,0.1399,240.92,C,3497.97,3552.03,1255.41,0.0,60,0
19200.0,60,0.1299,436.77,C,6756.53,12443.47,6323.78,0.0,60,0
6000.0,36,0.0735,186.23,A,4934.22,1065.78,235.38,0.0,29,0
30000.0,36,0.1631,1059.3081707434308,D,0.0,11455.27,5493.69,0.0,0,1
35000.0,36,0.1299,1179.1197453557563,C,0.0,35000.0,2551.74,0.0,0,0
24000.0,36,0.079,750.97,A,0.0,24000.0,2555.37,0.0,0,0
20000.0,36,0.0789,625.72,A,0.0,20000.0,2116.52,0.0,0,0
18000.0,60,0.1798999999999999,456.99,D,0.0,4321.04,4806.16,0.0,1671,0
18500.0,60,0.0917,385.56,B,8743.79,9756.21,3719.54,0.0,60,0
10000.0,36,0.1479,345.6257896944423,D,8617.63,1382.37,691.41,0.0,0,0
28000.0,36,0.0789,876.0,A,0.0,28000.0,3429.56,0.0,0,0
4825.0,36,0.1599,169.61,D,0.0,4825.0,1126.43,0.0,0,0
18000.0,36,0.1099,589.22,B,0.0,6790.28,2037.03,0.0,790,0
3000.0,36,0.1349,101.8,C,1732.56,1267.44,460.91,0.0,60,0
6000.0,36,0.2099,226.0195989026463,E,3294.71,2705.29,1589.09,0.0,0,0
15000.0,36,0.1203,498.4296033961786,C,0.0,15000.0,1632.55,0.0,0,0
20000.0,36,0.223,766.916538379882,E,18801.22,1198.78,1101.98,0.0,0,0
15000.0,60,0.1236,336.4019230743057,C,9376.24,5623.76,3459.04,0.0,0,0
8000.0,36,0.1714,285.78,D,0.0,8000.0,2218.92,0.0,0,0
9000.0,36,0.089,285.78,A,0.0,9000.0,1292.28,0.0,0,0
20000.0,60,0.1443,469.83558489950747,D,0.0,20000.0,5868.24,0.0,0,0
6010.0,36,0.1087,196.389901092996,C,0.0,6010.0,482.83,0.0,0,0
28000.0,36,0.0532,843.22,A,0.0,28000.0,1528.17,0.0,0,0
28150.0,60,0.1919,733.18,E,0.0,5114.06,6607.44,0.0,516,0
6500.0,36,0.1148,214.29,B,1642.5,4857.5,1134.33,0.0,90,0
7800.0,36,0.1199,259.04,B,6299.47,1500.53,561.4,0.0,60,0
16000.0,36,0.0839,504.27,B,0.0,16000.0,55.94,0.0,0,0
18000.0,36,0.0721,557.52,A,12905.72,5094.28,1016.81,0.0,29,0
11901.0,60,0.1159,262.2720551504198,C,8123.68,3777.32,2254.89,0.0,0,0
3000.0,36,0.2408,117.83,F,0.0,3000.0,432.41,0.0,0,0
28000.0,60,0.2788,869.78,G,0.0,28000.0,3968.62,0.0,0,0
5000.0,36,0.1359,169.8941734842512,D,3424.58,1575.42,633.15,0.0,0,0
14000.0,36,0.0608,426.42,A,12567.27,1432.73,268.22,0.0,60,0
